Draw(ms),Process(ms),Execute(ms),总时间<16ms
2.77,9.17,7.41,19.35
1.36,2.78,1.12,5.26
28.39,52.97,9.97,91.33
1.76,3.95,1.27,6.98
2.53,3.81,2.34,8.68
2.51,5.01,1.83,9.35
2.96,6.46,4.03,13.45
1.40,2.68,1.21,5.29
2.47,5.01,1.79,9.27
6.47,10.36,3.87,20.70
1.89,2.96,1.10,5.95
0.86,4.08,0.83,5.77
0.77,3.98,1.42,6.17
0.99,3.79,0.84,5.62
2.57,16.41,1.00,19.98
0.64,21.40,0.95,22.99
0.75,16.40,1.22,18.37
0.88,14.60,1.15,16.63
0.74,17.75,1.17,19.66
0.74,16.76,1.16,18.66
0.75,16.71,1.20,18.66
0.66,20.30,2.33,23.29
0.73,14.14,1.08,15.95
0.64,16.45,1.46,18.55
1.23,15.47,1.37,18.07
0.67,16.49,1.51,18.67
0.64,12.91,1.16,14.71
0.68,15.62,1.27,17.57
0.68,20.14,2.29,23.11
1.83,17.91,1.00,20.74
2.57,18.56,1.04,22.17
4.14,15.14,1.51,20.79
1.09,20.17,1.58,22.84
1.32,18.19,1.46,20.97
1.80,19.81,1.54,23.15
1.06,17.52,2.25,20.83
1.05,23.56,1.53,26.14
1.09,6.09,1.53,8.71
1.08,6.95,2.19,10.22
1.03,7.43,1.57,10.03
1.09,8.20,2.21,11.50
1.26,7.39,1.45,10.10
1.07,10.20,1.51,12.78
1.05,9.81,0.83,11.69
0.72,3.35,2.66,6.73
0.78,3.53,2.26,6.57
0.85,3.55,2.11,6.51
0.84,3.45,2.42,6.71
0.85,3.28,2.57,6.70
0.83,3.25,2.61,6.69
0.86,3.33,2.85,7.04
0.74,3.61,2.29,6.64
0.68,3.24,2.08,6.00
我是,分,割,线
1.44,2.56,1.42,5.42
2.69,6.43,2.48,11.60
0.09,4.12,1.06,5.27
0.03,3.26,1.08,4.37
0.03,3.08,1.31,4.42
0.03,3.71,0.85,4.59
0.72,4.89,0.84,6.45
3.33,5.95,1.65,10.93
0.03,5.29,1.53,6.85
0.04,6.45,1.51,8.00
0.03,7.08,1.64,8.75
1.18,8.71,1.22,11.11
3.38,6.66,1.82,11.86
0.03,11.03,3.18,14.24
0.02,5.11,5.13,10.26
0.73,7.37,1.94,10.04
2.36,6.28,1.99,10.63
4.37,22.71,4.28,31.36
0.26,2.44,2.75,5.45
41.09,6.43,7.12,54.64
7.25,4.00,0.67,11.92
0.02,3.44,0.78,4.24
0.03,3.85,0.65,4.53
0.02,3.66,0.70,4.38
0.04,10.88,3.30,14.22
0.07,13.58,2.19,15.84
0.05,11.19,1.87,13.11
0.06,12.27,2.64,14.97
0.05,11.02,2.36,13.43
0.05,11.13,2.10,13.28
0.04,11.06,1.98,13.08
0.04,13.25,3.38,16.67
0.04,7.27,1.49,8.80
我是,分,割,线
0.02,3.47,0.75,4.24
0.02,3.56,0.72,4.30
0.02,6.00,0.95,6.97
0.03,5.34,1.00,6.37
0.02,4.14,0.84,5.00
0.02,4.02,0.83,4.87
0.02,4.08,0.88,4.98
0.02,4.28,1.16,5.46
4.32,3.49,0.90,8.71
110.01,2.86,1.27,114.14
0.26,2.93,1.23,4.42
37.05,5.64,1.12,43.81
1.27,2.53,0.70,4.50
我是,分,割,线
16.01,24.41,1.02,41.44
1.50,4.02,1.01,6.53
2.56,5.84,1.63,10.03
1.67,2.76,1.03,5.46
3.39,4.68,2.80,10.87
5.20,8.89,1.71,15.80
15.73,2.92,1.14,19.79
1.77,3.00,1.17,5.94
1.44,2.59,1.17,5.20
6.88,9.49,3.63,20.00
2.48,12.94,2.35,17.77
1.38,3.26,1.22,5.86
1.44,2.71,1.14,5.29
1.40,2.66,1.88,5.94
1.39,2.66,1.18,5.23
3.80,6.48,2.83,13.11
2.28,4.36,1.70,8.34
101.31,17.80,4.06,123.17
0.61,4.59,2.47,7.67
46.45,5.43,1.59,53.47
1.40,2.45,0.72,4.57
我是,分,割,线
